Date,Open,High,Low,Close,Volume,Adj Close
2017-01-31,12.29,12.99,11.79,11.99,000,11.99
2017-01-30,11.10,12.90,11.10,11.88,000,11.88
2017-01-27,10.57,10.82,10.30,10.58,000,10.58
2017-01-26,10.61,11.01,10.60,10.63,000,10.63
2017-01-25,10.79,11.05,10.51,10.81,000,10.81
2017-01-24,11.82,11.89,11.04,11.07,000,11.07
2017-01-23,12.30,12.62,11.59,11.77,000,11.77
2017-01-20,12.58,12.59,11.53,11.54,000,11.54
2017-01-19,12.58,13.28,12.17,12.78,000,12.78
2017-01-18,11.79,12.81,11.69,12.48,000,12.48
2017-01-17,12.20,12.75,11.79,11.87,000,11.87
2017-01-13,11.45,11.62,10.94,11.23,000,11.23
2017-01-12,11.48,12.60,11.32,11.54,000,11.54
2017-01-11,11.56,12.23,11.21,11.26,000,11.26
2017-01-10,11.59,11.79,11.31,11.49,000,11.49
2017-01-09,11.71,12.08,11.46,11.56,000,11.56
2017-01-06,11.70,11.74,10.98,11.32,000,11.32
2017-01-05,11.96,12.09,11.40,11.67,000,11.67
2017-01-04,12.78,12.80,11.63,11.85,000,11.85
2017-01-03,14.07,14.07,12.85,12.85,000,12.85
2016-12-30,13.20,14.68,13.05,14.04,000,14.04
2016-12-29,13.15,13.71,12.95,13.37,000,13.37
2016-12-28,11.89,13.04,11.85,12.95,000,12.95
2016-12-27,12.26,12.33,11.84,11.99,000,11.99
2016-12-23,11.38,11.81,11.35,11.44,000,11.44
2016-12-22,11.32,11.67,11.14,11.43,000,11.43
2016-12-21,11.44,11.49,10.93,11.27,000,11.27
2016-12-20,11.65,11.75,11.38,11.45,000,11.45
2016-12-19,12.50,12.52,11.67,11.71,000,11.71
2016-12-16,12.88,12.95,12.15,12.20,000,12.20
2016-12-15,13.07,13.24,12.46,12.79,000,12.79
2016-12-14,12.88,13.39,12.48,13.19,000,13.19
2016-12-13,12.46,13.42,12.34,12.72,000,12.72
2016-12-12,12.23,12.78,12.07,12.64,000,12.64
2016-12-09,12.59,12.72,11.67,11.75,000,11.75
2016-12-08,12.10,13.40,11.30,12.64,000,12.64
2016-12-07,11.59,12.24,11.33,12.22,000,12.22
2016-12-06,12.19,12.30,11.54,11.79,000,11.79
2016-12-05,13.75,13.77,12.14,12.14,000,12.14
2016-12-02,14.16,14.48,12.39,14.12,000,14.12
2016-12-01,13.40,14.72,13.05,14.07,000,14.07
2016-11-30,12.60,13.42,12.23,13.33,000,13.33
2016-11-29,13.07,13.55,12.62,12.90,000,12.90
2016-11-28,13.40,13.50,12.74,13.15,000,13.15
2016-11-25,12.52,12.74,12.31,12.34,000,12.34
2016-11-23,12.34,13.01,12.19,12.43,000,12.43
2016-11-22,12.26,12.83,12.20,12.41,000,12.41
2016-11-21,13.27,13.44,12.16,12.42,000,12.42
2016-11-18,13.56,13.74,12.85,12.85,000,12.85
2016-11-17,13.37,13.55,12.97,13.35,000,13.35
2016-11-16,13.51,14.49,13.51,13.72,000,13.72
2016-11-15,14.16,14.65,13.30,13.37,000,13.37
2016-11-14,14.69,15.56,14.39,14.48,000,14.48
2016-11-11,14.83,16.00,14.15,14.17,000,14.17
2016-11-10,14.01,16.299999,13.26,14.74,000,14.74
2016-11-09,20.700001,21.48,14.33,14.38,000,14.38
2016-11-08,18.92,19.91,17.700001,18.74,000,18.74
2016-11-07,19.780001,19.860001,18.389999,18.709999,000,18.709999
2016-11-04,21.860001,23.01,19.200001,22.51,000,22.51
2016-11-03,19.85,22.57,18.84,22.08,000,22.08
2016-11-02,19.09,19.82,18.559999,19.32,000,19.32
2016-11-01,16.540001,20.43,16.51,18.559999,000,18.559999
2016-10-31,16.309999,17.629999,16.25,17.059999,000,17.059999
2016-10-28,15.67,17.35,14.65,16.190001,000,16.190001
2016-10-27,14.37,15.43,13.60,15.36,000,15.36
2016-10-26,13.66,14.80,13.66,14.24,000,14.24
2016-10-25,12.91,13.86,12.73,13.46,000,13.46
2016-10-24,13.19,13.26,12.83,13.02,000,13.02
2016-10-21,14.04,14.53,13.27,13.34,000,13.34
2016-10-20,14.43,14.72,13.74,13.75,000,13.75
2016-10-19,15.45,15.68,13.87,14.41,000,14.41
2016-10-18,15.82,15.85,15.03,15.28,000,15.28
2016-10-17,17.01,17.110001,16.129999,16.209999,000,16.209999
2016-10-14,16.49,16.50,15.25,16.120001,000,16.120001
2016-10-13,16.879999,17.950001,16.139999,16.690001,000,16.690001
2016-10-12,15.53,16.34,15.26,15.91,000,15.91
