date,press,headline
0,January 02 2016, PHYLLIS KORKKI," ""At Work and Feeling All Alone    """
1,January 02 2016, BEN SISARIO," ""5 Years and $7 Later, U.S. Returns a Seized Hip-Hop Blog Site"""
2,January 02 2016, PATRICIA COHEN," ""Over 50, Female and Jobless Even as Others Return to Work """
3,January 02 2016, THE ASSOCIATED PRESS," ""Universities Offer Classes for Those Interested in Beer"""
4,January 02 2016, REUTERS," ""Russia to File Suit Against Ukraine for Nonpayment"""
5,January 02 2016, REUTERS," ""China’s Economy Ends 2015 at Slowest Pace in Years"""
6,January 01 2016, PETER EAVIS," ""Ackman Sheds Some Valeant Shares"""
7,January 01 2016, NOAM SCHEIBER," ""Justice in Taxes, Most Likely Short-Lived"""
8,January 01 2016, PETER EAVIS," ""Riding the Market Roller Coaster"""
9,January 01 2016, VINOD SREEHARSHA," ""BTG Pactual Sells Distressed Debt Unit to Itau Unibanco"""
10,January 01 2016, REUTERS," ""Jobless Claims Rise, Showing Some Weakness in Hiring"""
11,January 01 2016, RACHEL ABRAMS," ""Last Night (and Most Expensive) of the Year"""
12,January 01 2016, MARK SCOTT," ""BBC Websites Said to Be Target of Online Attack"""
13,January 01 2016, JAMES B. STEWART," ""After Tumult of 2015, a Look Ahead"""
14,January 01 2016, THE ASSOCIATED PRESS," ""Market Stumbles to the Finish Line in 2015"""
15,January 01 2016, MARK SCOTT," ""Britain to Review How Airport Shops Collect Sales Tax"""
16,January 01 2016, LANDON THOMAS Jr," ""Edward Hugh, 67, Dies; Foresaw Euro Debt Crisis """
17,January 02 2016, PHYLLIS KORKKI," ""At Work and Feeling All Alone    """
18,January 03 2016," RAVI SOMAIYA, IAN LOVETT and BARRY MEIER"," ""Purchase of Las Vegas Newspaper Is Seen as a Mogul’s Power Play """
19,January 03 2016, CLAIRE MARTIN," ""A Tech Playbook for Living With A.L.S."""
20,January 03 2016, GRETCHEN MORGENSON," ""Board Hurls a Bombshell Into Auditing"""
21,January 03 2016, MAX BEARAK," ""Electrifying India, With the Sun and Small Loans"""
22,January 02 2016, BEN SISARIO," ""5 Years and $7 Later, U.S. Returns a Seized Hip-Hop Blog Site"""
23,January 02 2016, PATRICIA COHEN," ""Over 50, Female and Jobless Even as Others Return to Work """
24,January 02 2016, THE ASSOCIATED PRESS," ""Universities Offer Classes for Those Interested in Beer"""
25,January 02 2016, REUTERS," ""Russia to File Suit Against Ukraine for Nonpayment"""
26,January 02 2016, REUTERS," ""China’s Economy Ends 2015 at Slowest Pace in Years"""
27,January 03 2016, CONOR DOUGHERTY," ""Growing Up Mobile"""
28,January 03 2016, ADAM BRYANT," ""The Art and Science of Team Chemistry"""
29,January 04 2016, NELSON D. SCHWARTZ," ""Economists Take Aim at Wealth Inequality"""
30,January 04 2016, MICHAEL J. de la MERCED," ""Raine Group Finds Deals for Clients, and Itself"""
31,January 04 2016, ELIZABETH OLSON," ""Girl Scout Cookie Sales Go Digital, With Help From Visa and Dell"""
32,January 04 2016, BROOKS BARNES and JOHN KOBLIN," ""Under New Leader, Discovery Shows Promise """
33,January 04 2016, THE NEW YORK TIMES," ""Auto Sales, the Fed’s December Meeting and Employment Numbers"""
34,January 04 2016,," ""Treasury Auctions Set for This Week"""
35,January 04 2016, AMISHA PADNANI," ""Boston Globe Staff Unites to Deliver Sunday Paper"""
36,January 04 2016, LESLIE PICKER," ""A Standout Year for Mergers, in Volume and Complexity"""
37,January 04 2016, HUGO DIXON," ""Shifting Who Bails Out Troubled Banks in Europe"""
38,January 04 2016, ALEXANDRA ALTER," ""A Julian Fellowes Novel Comes With Its Own App"""
39,January 04 2016, NAZANIN LANKARANI," ""Be True to Yourself"""
40,January 03 2016," RAVI SOMAIYA, IAN LOVETT and BARRY MEIER"," ""Purchase of Las Vegas Newspaper Is Seen as a Mogul’s Power Play """
41,January 03 2016, CLAIRE MARTIN," ""A Tech Playbook for Living With A.L.S."""
42,January 03 2016, GRETCHEN MORGENSON," ""Board Hurls a Bombshell Into Auditing"""
43,January 03 2016, MAX BEARAK," ""Electrifying India, With the Sun and Small Loans"""
44,January 03 2016, CONOR DOUGHERTY," ""Growing Up Mobile"""
45,January 03 2016, ADAM BRYANT," ""The Art and Science of Team Chemistry"""
46,January 05 2016, SYDNEY EMBER," ""Manager of Las Vegas Newspaper Is Removed """
47,January 05 2016, LESLIE PICKER," ""Lion Point Capital to Nominate 2 Candidates to Ally Financial’s Board"""
48,January 05 2016, ANDREW ROSS SORKIN," ""A Growing Conflict in Wall St. Buyouts"""
49,January 05 2016, MARY WILLIAMS WALSH," ""Struggling Puerto Rico Defaults on Its Debt Payments"""
50,January 05 2016, BILL VLASIC," ""No Longer Wallflowers, Carmakers Aim to Grab Spotlight at Electronics Show"""
51,January 05 2016, BILL VLASIC," ""G.M. Chief Is Named Chairwoman, Affirming Her Leadership"""
52,January 05 2016, THE ASSOCIATED PRESS," ""F.D.A. Drug Approvals Climb to Highest Level Since 1996"""
53,January 05 2016, REUTERS," ""A Tepid Debut for Ferrari at the Stock Listing in Milan"""
54,January 05 2016, ROBERT CYRAN and ANTONY CURRIE," ""G.M.’s Investment in Lyft Hedges Against a Future With Fewer Car Owners"""
55,January 05 2016, JOSHUA BROCKMAN," ""Fliers Go Their Own Way When It Comes to Airline Meals"""
56,January 05 2016, STEPHANIE STROM," ""Chick-fil-A in Manhattan Closes to Address Health Violations"""
57,January 05 2016, REUTERS," ""U.S. Manufacturing Falls for a 2nd Straight Month"""
58,January 05 2016, CORAL DAVENPORT and DANNY HAKIM," ""U.S. Sues Volkswagen for Cheating on Emissions Tests"""
59,January 05 2016, PETER J. HENNING," ""In Cohen and I.B.M. Insider Trading Cases, Challenges for the S.E.C."""
60,January 05 2016, STANLEY REED," ""Oil Markets Settle Lower, Despite Iran-Saudi Feud"""
61,January 05 2016, DANIELLE IVORY and HIROKO TABUCHI," ""Emails Suggest Airbag Maker Boldly Rigged Data """
62,January 05 2016, PATRICIA COHEN," ""If I.R.S. Is Watching, You Will Pay Up"""
63,January 05 2016, PETER EAVIS and PAUL MOZUR," ""Wall St. Follows China’s Sell-Off"""
64,January 04 2016, NELSON D. SCHWARTZ," ""Economists Take Aim at Wealth Inequality"""
65,January 04 2016, MICHAEL J. de la MERCED," ""Raine Group Finds Deals for Clients, and Itself"""
66,January 06 2016, THE ASSOCIATED PRESS," ""Malaysia Airlines Bars Checked Bags on Some Flights"""
67,January 06 2016, PETER EAVIS," ""Bank Rule Distorting Performance Is Repealed"""
68,January 06 2016, SYDNEY EMBER," ""Las Vegas News Staff Advised on Covering Adelson"""
69,January 06 2016, BILL VLASIC," ""Pickups and S.U.V.s Lead Way to a Record Year for Automakers"""
70,January 06 2016, THE ASSOCIATED PRESS," ""Relatively Stable Trading a Day After Sell-Offs """
71,January 06 2016, THE ASSOCIATED PRESS," ""Chairman of Yum Brands to Retire After 3 Decades"""
72,January 06 2016, THE ASSOCIATED PRESS," ""Lumosity Game Developer Agrees to $2 Million Settlement"""
73,January 06 2016, BEN SISARIO," ""Adele Album Resists the Streaming Trend in Music Sales"""
74,January 06 2016, THE NEW YORK TIMES," ""Fitbit Shares Tumble 18% as Apple Watch Gains Market Share"""
75,January 06 2016, DAN HORCH," ""Downfall of Ambitious Banker Rattles Brazil’s Financial Industry """
76,January 06 2016, LIZ MOYER," ""JPMorgan Pays $48 Million More to Settle Mortgage Servicing Issues"""
77,January 06 2016, DAVID GELLES," ""Running With the Big Dogs"""
78,January 06 2016, EDUARDO PORTER," ""Racial Identity Returns to American Politics"""
79,January 06 2016, ALEXANDRA STEVENSON," ""William Ackman Fund Ends 2015 With a 20.5% Loss"""
80,January 06 2016, THE NEW YORK TIMES," ""Times Names James Dao Editor of the Op-Ed Page """
81,January 06 2016, ANDREW POLLACK," ""Shares of Inhaled Insulin Maker Plummet 48% as Big Marketing Partner Pulls Out"""
82,January 06 2016, JENNIFER SABA," ""Dalian Wanda’s Hollywood Ambitions Show Savvy"""
83,January 06 2016, LESLIE PICKER," ""LVMH Takes a Partner for Its Private Investing"""
84,January 06 2016, LIZ MOYER," ""Kohlberg Kravis Roberts Buying Mills Fleet Farm"""
85,January 06 2016, PAUL MOZUR and NICK WINGFIELD," ""Microsoft Faces New Scrutiny in China"""
86,January 07 2016, BILL VLASIC," ""Carmakers Forge Ahead With Electric Vehicles """
87,January 07 2016, SYDNEY EMBER," ""A Publisher Puzzles Staff With His Role in Las Vegas"""
88,January 07 2016, ANTONY CURRIE," ""Morgan Stanley Management Shuffle Puts a C.E.O. on the Market"""
89,January 07 2016, CLIFFORD KRAUSS," ""Oil Prices Decline More Than 5 Percent as Stockpiles Increase """
90,January 07 2016, VINOD SREEHARSHA," ""Founders Fund Leads a Financing Round for Nubank, a Brazilian Start-Up"""
91,January 07 2016, HIROKO TABUCHI," ""Macy’s to Cut 4,500 Jobs, After Holiday Sales Slump """
92,January 07 2016, THE ASSOCIATED PRESS," ""Seaworld And California Settle Charges Involving Killer Whales """
