date,press,headline
0,August 02 2016, MICHAEL CORKERY," ""Big Banks  Make a Pitch for Hearts  and Minds"""
1,August 02 2016, STEVEN DAVIDOFF SOLOMON," ""Redstone Cases Open  Pandora’s Box of Litigation"""
2,August 02 2016, MIKE McPHATE and BEN SISARIO," ""Limbaugh Renews Contract With iHeartMedia for 4 Years"""
3,August 02 2016, BEN SISARIO," ""Sony Closes Big Music Deal With Michael Jackson Estate"""
4,August 02 2016, THE ASSOCIATED PRESS," ""Wall St. Slides as Insecurity Spreads"""
5,August 02 2016, EDUARDO PORTER," ""The Case  for More  Government,  Not Less"""
6,August 02 2016, SYDNEY EMBER," ""Vice Media to Begin Nightly HBO News Program Sept. 26"""
7,August 02 2016, JONATHAN SOBLE," ""New Round of Stimulus for a Struggling Japan"""
8,August 02 2016, CHOE SANG-HUN," ""South Korea Bans Volkswagen From Selling 80 Models"""
9,August 02 2016, ANDREW ROSS SORKIN," ""Herbalife vs. Activist: Just Maybe He’s Right"""
10,August 02 2016, NELSON D. SCHWARTZ," ""The Lure of Downtown"""
11,August 02 2016, ANDREW POLLACK," ""Theranos Shifts to Medical Testing Machines"""
12,August 02 2016, STEPHANIE STROM," ""McDonald’s Concedes  to ‘Real Ingredients’: Butter in the McMuffin"""
13,August 02 2016, MICHAEL CORKERY and NATHANIEL POPPER," ""Largest Banks Pursue Instant Payments Market"""
14,August 02 2016, SYDNEY EMBER," ""Chief Files for Bankruptcy, Just Weeks After Gawker Did"""
15,August 02 2016, PETER J. HENNING," ""Supreme Court Could Redefine Insider Trading Law"""
16,August 02 2016, ANTONY CURRIE," ""Tesla-SolarCity Deal Could Distract the Carmaker"""
17,August 02 2016, THE ASSOCIATED PRESS," "" Shares Are Lower as Oil Prices Plummet"""
18,August 02 2016, MICHAEL W. PEREGRINE," ""A United Effort to Overhaul Corporate Governance"""
19,August 02 2016, JULIE WEED," ""With Room Service and More, Hospitals Borrow From Hotels"""
20,August 03 2016, JIM RUTENBERG and BEN PROTESS," ""Fox News Harassment Inquiry Is Said to Look at What Others Knew"""
21,August 03 2016, THE ASSOCIATED PRESS," ""Grain Mostly Lower, Livestock Mixed"""
22,August 03 2016, AMIE TSANG," ""Morning Agenda: Profit at HSBC Plummets"""
23,August 03 2016, ALEXANDRA ALTER," ""Big Sales, but ‘Cursed Child’ Is Less Than Magical to Some Potter Fans"""
24,August 03 2016, EMILY STEEL," ""Redstone’s Granddaughter Joins in Suit Against Him"""
25,August 02 2016, MICHAEL CORKERY," ""Big Banks  Make a Pitch for Hearts  and Minds"""
26,August 03 2016, KEVIN ALLISON," ""Online Upstarts Pose a Threat to Procter & Gamble"""
27,August 02 2016, STEVEN DAVIDOFF SOLOMON," ""Redstone Cases Open  Pandora’s Box of Litigation"""
28,August 03 2016, STACY COWLEY," ""Pay Equity the Aim, Interviewers Can’t Ask ‘What Do You Make?’"""
29,August 02 2016, MIKE McPHATE and BEN SISARIO," ""Limbaugh Renews Contract With iHeartMedia for 4 Years"""
30,August 02 2016, BEN SISARIO," ""Sony Closes Big Music Deal With Michael Jackson Estate"""
31,August 02 2016, THE ASSOCIATED PRESS," ""Wall St. Slides as Insecurity Spreads"""
32,August 02 2016, EDUARDO PORTER," ""The Case  for More  Government,  Not Less"""
33,August 02 2016, SYDNEY EMBER," ""Vice Media to Begin Nightly HBO News Program Sept. 26"""
34,August 02 2016, JONATHAN SOBLE," ""New Round of Stimulus for a Struggling Japan"""
35,August 02 2016, CHOE SANG-HUN," ""South Korea Bans Volkswagen From Selling 80 Models"""
36,August 02 2016, ANDREW ROSS SORKIN," ""Herbalife vs. Activist: Just Maybe He’s Right"""
37,August 02 2016, NELSON D. SCHWARTZ," ""The Lure of Downtown"""
38,August 02 2016, ANDREW POLLACK," ""Theranos Shifts to Medical Testing Machines"""
39,August 02 2016, STEPHANIE STROM," ""McDonald’s Concedes  to ‘Real Ingredients’: Butter in the McMuffin"""
40,August 04 2016, REUTERS," ""Apple Offers Big Cash Rewards for Help Finding Security Bugs"""
41,August 04 2016, REUTERS," ""UK Labour Market Enters 'Freefall' After Brexit Vote, REC Says"""
42,August 04 2016, REUTERS," ""Fed's Kashkari Says Racial Economic Gap Needs Forceful Response"""
43,August 04 2016, REUTERS," ""New York Regulator Queries Goldman Again on Malaysia’s 1MDB Fund: Source"""
44,August 04 2016, REUTERS," ""Barclays Clearing Executive Ray Kahn Leaves Bank-Source"""
45,August 04 2016, REUTERS," ""U.S. Derivatives Regulator Slams Own Agency on International Cooperation"""
46,August 04 2016, THE ASSOCIATED PRESS," ""Business Highlights"""
47,August 04 2016, THE ASSOCIATED PRESS," ""Jack in the Box, Ball and Square Jump; TripAdvisor Slides"""
48,August 04 2016, THE ASSOCIATED PRESS," ""Grain Mostly Lower, Livestock Mixed"""
49,August 04 2016, THE ASSOCIATED PRESS," ""Fear in the Stock Market Can Mean Profit, but Know the Risks"""
50,August 04 2016, REUTERS," ""Twitter Loses Another Corporate Communications Executive"""
51,August 04 2016, REUTERS," ""Iran Nuclear Pact Opponents Lobby in U.S. Against Boeing, Airbus Deals"""
52,August 04 2016, REUTERS," ""Investor Wilbur Ross Urges Trump Not to Let His Behavior Become the Issue"""
53,August 04 2016, REUTERS," ""CFTC Fines Barclays $800,000 for Supervision Failures"""
54,August 04 2016, REUTERS," ""New U.S. Mortgage Rules Aim to Stop Wrongful Foreclosures"""
55,August 04 2016, REUTERS," ""Wal-Mart's New Scheduling System Looks to Improve Peak-Hour Staffing"""
56,August 04 2016, REUTERS," ""Judge for U.S. Lawsuits to Stop Insurance Mergers May Drop One Case"""
57,August 04 2016, THE ASSOCIATED PRESS," ""The Parents Guide to Insurance for College Students"""
58,August 04 2016, REUTERS," ""U.S. Judge Dismisses Part of Alibaba Counterfeit Goods Lawsuit"""
59,August 04 2016, REUTERS," ""Dubai Airport Reopens Runway After Emirates Crash, CEO Says"""
60,August 05 2016, REUTERS," ""U.S. Republican Presidential Candidate Trump's Economic Team"""
61,August 05 2016, REUTERS," ""Trump's Economic Advisory Group Clashes With Populist Image"""
62,August 05 2016, REUTERS," ""Elliott Associates Sues AbbVie Over Failed Bid for Shire"""
63,August 05 2016, THE ASSOCIATED PRESS," ""Southwest Airlines Board Tells Unions That CEO Is Staying"""
64,August 05 2016, THE ASSOCIATED PRESS," ""Business Highlights"""
65,August 05 2016, REUTERS," ""Google Executive Quits Self-Driving Car Project"""
66,August 05 2016, REUTERS," ""Tesla Motors Discloses $1.1 Billion in Third-Quarter Cash Needs"""
67,August 05 2016, REUTERS," ""Pokemon Go Creator Wants More Tie Ups Like McDonald's Japan"""
68,August 05 2016, REUTERS," ""Exclusive: Genesys in Bid to Buy Avaya's Call Center Business-Sources"""
69,August 05 2016, REUTERS," ""Exclusive-Genesys in Bid to Buy Avaya's Call Centre Business: Sources"""
70,August 05 2016, THE ASSOCIATED PRESS," ""Berkshire Hathaway Profit Jumps 25 Percent"""
71,August 05 2016, REUTERS," ""Vedanta Resources Aims to Close Merger With Cairn India in Early 2017"""
72,August 05 2016, REUTERS," ""Ratings Agency DBRS Places Italy Under Review With Negative Implications"""
73,August 05 2016, REUTERS," ""Investors Could See U.S. Profit Slide Continue Into Third Quarter"""
74,August 05 2016, THE ASSOCIATED PRESS," ""Bank of America, Priceline, Kraft Heinz Climb; FireEye Falls"""
75,August 05 2016, REUTERS," ""U.S. Locks in Hot-Rolled Steel Dumping Duties on Seven Countries"""
76,August 05 2016, REUTERS," ""Berkshire Profit Up 25 Percent as Insurance Helps, BNSF Weighs"""
77,August 05 2016, REUTERS," ""Blame It on Rio: Some U.S. Companies See Sales Hit From Olympics"""
78,August 05 2016, REUTERS," ""Alibaba Says It Is Not Making an Investment in Netflix"""
79,August 05 2016, MICHAEL J. de la MERCED," ""How Dell Raised $67 Billion to Buy EMC in the Biggest Tech Deal Ever"""
80,August 06 2016, REUTERS," ""Aeropostale Discusses Sale to Versa Capital"""
81,August 05 2016, REUTERS," ""U.S. Republican Presidential Candidate Trump's Economic Team"""
82,August 05 2016, REUTERS," ""Trump's Economic Advisory Group Clashes With Populist Image"""
83,August 05 2016, REUTERS," ""Elliott Associates Sues AbbVie Over Failed Bid for Shire"""
84,August 05 2016, THE ASSOCIATED PRESS," ""Southwest Airlines Board Tells Unions That CEO Is Staying"""
85,August 05 2016, THE ASSOCIATED PRESS," ""Business Highlights"""
86,August 05 2016, REUTERS," ""Google Executive Quits Self-Driving Car Project"""
87,August 05 2016, REUTERS," ""Tesla Motors Discloses $1.1 Billion in Third-Quarter Cash Needs"""
88,August 05 2016, REUTERS," ""Pokemon Go Creator Wants More Tie Ups Like McDonald's Japan"""
89,August 05 2016, REUTERS," ""Exclusive: Genesys in Bid to Buy Avaya's Call Center Business-Sources"""
90,August 07 2016, REUTERS," ""Anbang Is Not Considering an Offer for InterContinental-Spokesman"""
91,August 07 2016, REUTERS," ""UK Consumer Spending Picks Up in July, Bucking Signs of Slowdown-Visa"""
92,August 07 2016, REUTERS," ""UniCredit Injects 1 Billion Euros Into Bank Austria as Part of Unit Split"""
